total_baggage,total_cargo,total_mnc,total_mail,departure_airport,combined,timestamp
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1574.0_1.0,2024-04-30 08:00:07
,,,,DUB,2024-05_MN_1604.0_1.0,2024-04-30 08:00:38
,,,,DUB,2024-05_MN_1262.0_1.0,2024-04-30 08:01:36
1534.00,0.00,0.00,0.00,DUB,2024-05_MN_1262.0_1.0,2024-04-30 08:01:36
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1422.0_1.0,2024-04-30 08:00:37
936.00,0.00,0.00,0.00,DUB,2024-05_MN_1604.0_1.0,2024-04-30 08:00:38
,,,,DUB,2024-05_MN_1184.0_1.0,2024-04-30 08:01:17
559.00,0.00,0.00,0.00,DUB,2024-05_MN_1184.0_1.0,2024-04-30 08:01:17
,,,,DUB,2024-05_MN_1154.0_1.0,2024-04-30 08:06:35
1053.00,0.00,0.00,0.00,DUB,2024-05_MN_1154.0_1.0,2024-04-30 08:06:35
,,,,DUB,2024-05_MN_1352.0_1.0,2024-04-30 08:07:24
1001.00,0.00,0.00,0.00,DUB,2024-05_MN_1352.0_1.0,2024-04-30 08:07:24
,,,,DUB,2024-05_MN_1154.0_1.0,2024-04-30 08:09:34
1508.00,0.00,0.00,0.00,DUB,2024-05_MN_1154.0_1.0,2024-04-30 08:09:34
,,,,DUB,2024-05_MN_1650.0_1.0,2024-04-30 08:15:36
1001.00,0.00,0.00,0.00,DUB,2024-05_MN_1650.0_1.0,2024-04-30 08:15:36
,,,,DUB,2024-05_MN_1684.0_1.0,2024-04-30 08:16:36
1417.00,0.00,0.00,0.00,DUB,2024-05_MN_1684.0_1.0,2024-04-30 08:16:36
,,,,DUB,2024-05_MN_1342.0_1.0,2024-04-30 08:17:36
,,,,DUB,2024-05_MN_1496.0_1.0,2024-04-30 08:18:37
1040.00,0.00,0.00,0.00,DUB,2024-05_MN_1342.0_1.0,2024-04-30 08:17:36
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1496.0_1.0,2024-04-30 08:18:37
,,,,DUB,2024-05_MN_1524.0_1.0,2024-04-30 08:18:37
1495.00,0.00,0.00,0.00,DUB,2024-05_MN_1524.0_1.0,2024-04-30 08:18:37
,,,,DUB,2024-05_MN_1202.0_1.0,2024-04-30 08:21:35
,,,,DUB,2024-05_MN_1496.0_1.0,2024-04-30 08:21:37
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1496.0_1.0,2024-04-30 08:21:37
338.00,0.00,0.00,0.00,DUB,2024-05_MN_1202.0_1.0,2024-04-30 08:21:35
,,,,DUB,2024-05_MN_1748.0_1.0,2024-04-30 08:32:37
,,,,DUB,2024-05_MN_1496.0_1.0,2024-04-30 08:34:37
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1748.0_1.0,2024-04-30 08:32:37
,,,,DUB,2024-05_MN_1564.0_1.0,2024-04-30 08:33:36
1521.00,0.00,0.00,0.00,DUB,2024-05_MN_1564.0_1.0,2024-04-30 08:33:36
,,,,DUB,2024-05_MN_1592.0_1.0,2024-04-30 08:34:36
1053.00,0.00,0.00,0.00,DUB,2024-05_MN_1592.0_1.0,2024-04-30 08:34:36
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1496.0_1.0,2024-04-30 08:34:37
,,,,DUB,2024-05_MN_1544.0_1.0,2024-04-30 08:35:37
1443.00,0.00,0.00,0.00,DUB,2024-05_MN_1544.0_1.0,2024-04-30 08:35:37
,,,,DUB,2024-05_MN_1602.0_1.0,2024-04-30 08:36:36
1391.00,0.00,0.00,0.00,DUB,2024-05_MN_1602.0_1.0,2024-04-30 08:36:36
,,,,DUB,2024-05_MN_1650.0_1.0,2024-04-30 08:37:35
1001.00,0.00,0.00,0.00,DUB,2024-05_MN_1650.0_1.0,2024-04-30 08:37:35
,,,,DUB,2024-05_MN_1462.0_1.0,2024-04-30 08:45:37
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1462.0_1.0,2024-04-30 08:45:37
,,,,DUB,2024-05_MN_1642.0_1.0,2024-04-30 08:45:35
1430.00,0.00,0.00,0.00,DUB,2024-05_MN_1642.0_1.0,2024-04-30 08:45:35
,,,,DUB,2024-05_MN_1610.0_1.0,2024-04-30 08:47:37
923.00,0.00,0.00,0.00,DUB,2024-05_MN_1610.0_1.0,2024-04-30 08:47:37
,,,,DUB,2024-05_MN_1538.0_1.0,2024-04-30 08:47:36
910.00,0.00,0.00,0.00,DUB,2024-05_MN_1538.0_1.0,2024-04-30 08:47:36
,,,,DUB,2024-05_MN_1496.0_1.0,2024-04-30 08:52:37
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1496.0_1.0,2024-04-30 08:52:37
,,,,DUB,2024-05_MN_1610.0_1.0,2024-04-30 08:53:37
923.00,0.00,0.00,0.00,DUB,2024-05_MN_1610.0_1.0,2024-04-30 08:53:37
,,,,DUB,2024-05_MN_1538.0_1.0,2024-04-30 08:54:37
910.00,0.00,0.00,0.00,DUB,2024-05_MN_1538.0_1.0,2024-04-30 08:54:37
,,,,DUB,2024-05_MN_1742.0_1.0,2024-04-30 08:55:35
,,,,DUB,2024-05_MN_1276.0_1.0,2024-04-30 08:55:38
1014.00,0.00,0.00,0.00,DUB,2024-05_MN_1276.0_1.0,2024-04-30 08:55:38
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1742.0_1.0,2024-04-30 08:55:35
,,,,DUB,2024-05_MN_1776.0_1.0,2024-04-30 08:56:35
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1776.0_1.0,2024-04-30 08:56:35
,,,,DUB,2024-05_MN_1208.0_1.0,2024-04-30 08:57:36
533.00,0.00,0.00,0.00,DUB,2024-05_MN_1208.0_1.0,2024-04-30 08:57:36
,,,,DUB,2024-05_MN_1332.0_1.0,2024-04-30 08:58:35
988.00,0.00,0.00,0.00,DUB,2024-05_MN_1332.0_1.0,2024-04-30 08:58:35
,,,,DUB,2024-05_MN_1178.0_1.0,2024-04-30 08:59:38
