total_cargo,total_eic,total_mail,departure_airport,combined,timestamp
,,,VCP,2024-05_ZY_2020.0_30.0,2024-04-30 18:41:11
5.00,15.00,0.00,VCP,2024-05_ZY_2020.0_30.0,2024-04-30 18:41:11
,,,VCP,2024-05_ZY_2008.0_30.0,2024-04-30 18:41:15
,,,VCP,2024-05_ZY_2018.0_30.0,2024-04-30 18:38:26
3.00,0.00,0.00,VCP,2024-05_ZY_2018.0_30.0,2024-04-30 18:38:26
,,,VCP,2024-05_ZY_2011.0_30.0,2024-04-30 18:38:49
3.00,0.00,0.00,VCP,2024-05_ZY_2011.0_30.0,2024-04-30 18:38:49
,,,VCP,2024-05_ZY_2008.0_30.0,2024-04-30 18:38:31
,,,VCP,2024-05_ZY_2015.0_30.0,2024-04-30 18:38:32
2.00,0.00,0.00,VCP,2024-05_ZY_2015.0_30.0,2024-04-30 18:38:32
,,,VCP,2024-05_ZY_2017.0_30.0,2024-04-30 18:39:46
5.00,0.00,0.00,VCP,2024-05_ZY_2017.0_30.0,2024-04-30 18:39:46
,,,VCP,2024-05_ZY_2016.0_30.0,2024-04-30 18:38:26
2.00,0.00,0.00,VCP,2024-05_ZY_2016.0_30.0,2024-04-30 18:38:26
,,,VCP,2024-05_ZY_2009.0_30.0,2024-04-30 18:38:30
2.00,0.00,0.00,VCP,2024-05_ZY_2009.0_30.0,2024-04-30 18:38:30
,,,VCP,2024-05_ZY_2019.0_30.0,2024-04-30 18:38:34
5.00,0.00,0.00,VCP,2024-05_ZY_2019.0_30.0,2024-04-30 18:38:34
5.00,0.00,0.00,VCP,2024-05_ZY_2008.0_30.0,2024-04-30 18:38:31
3.00,0.00,0.00,VCP,2024-05_ZY_2014.0_30.0,2024-04-30 18:38:32
,,,VCP,2024-05_ZY_2016.0_30.0,2024-04-30 18:46:32
0.00,30.00,0.00,VCP,2024-05_ZY_2016.0_30.0,2024-04-30 18:46:32
,,,VCP,2024-05_ZY_2020.0_30.0,2024-04-30 18:38:33
5.00,0.00,0.00,VCP,2024-05_ZY_2020.0_30.0,2024-04-30 18:38:33
,,,VCP,2024-05_ZY_2021.0_30.0,2024-04-30 18:38:34
5.00,0.00,0.00,VCP,2024-05_ZY_2021.0_30.0,2024-04-30 18:38:34
,,,VCP,2024-05_ZY_2006.0_30.0,2024-04-30 18:39:19
9.00,0.00,0.00,VCP,2024-05_ZY_2006.0_30.0,2024-04-30 18:39:19
,,,VCP,2024-05_ZY_2005.0_30.0,2024-04-30 18:39:46
10.00,0.00,0.00,VCP,2024-05_ZY_2005.0_30.0,2024-04-30 18:39:46
,,,VCP,2024-05_ZY_2002.0_30.0,2024-04-30 18:39:57
,,,VCP,2024-05_ZY_2001.0_30.0,2024-04-30 18:40:00
20.00,0.00,0.00,VCP,2024-05_ZY_2001.0_30.0,2024-04-30 18:40:00
5.00,0.00,0.00,VCP,2024-05_ZY_2002.0_30.0,2024-04-30 18:39:57
,,,VCP,2024-05_ZY_2007.0_30.0,2024-04-30 18:41:00
,,,VCP,2024-05_ZY_2010.0_30.0,2024-04-30 18:40:28
3.00,10.00,0.00,VCP,2024-05_ZY_2010.0_30.0,2024-04-30 18:40:28
,,,VCP,2024-05_ZY_2018.0_30.0,2024-04-30 18:40:48
3.00,50.00,0.00,VCP,2024-05_ZY_2018.0_30.0,2024-04-30 18:40:48
,,,VCP,2024-05_ZY_2016.0_30.0,2024-04-30 18:40:51
2.00,30.00,0.00,VCP,2024-05_ZY_2016.0_30.0,2024-04-30 18:40:51
,,,VCP,2024-05_ZY_2001.0_30.0,2024-04-30 18:40:58
20.00,15.00,0.00,VCP,2024-05_ZY_2001.0_30.0,2024-04-30 18:40:58
,,,VCP,2024-05_ZY_2014.0_30.0,2024-04-30 18:41:06
10.00,15.00,0.00,VCP,2024-05_ZY_2007.0_30.0,2024-04-30 18:41:00
,,,VCP,2024-05_ZY_2009.0_30.0,2024-04-30 18:41:29
2.00,5.00,0.00,VCP,2024-05_ZY_2009.0_30.0,2024-04-30 18:41:29
,,,VCP,2024-05_ZY_2004.0_30.0,2024-04-30 18:41:44
5.00,20.00,0.00,VCP,2024-05_ZY_2004.0_30.0,2024-04-30 18:41:44
,,,VCP,2024-05_ZY_2005.0_30.0,2024-04-30 18:41:47
10.00,40.00,0.00,VCP,2024-05_ZY_2005.0_30.0,2024-04-30 18:41:47
3.00,7.00,0.00,VCP,2024-05_ZY_2014.0_30.0,2024-04-30 18:41:06
,,,VCP,2024-05_ZY_2018.0_30.0,2024-04-30 18:41:36
3.00,50.00,0.00,VCP,2024-05_ZY_2018.0_30.0,2024-04-30 18:41:36
,,,VCP,2024-05_ZY_2006.0_30.0,2024-04-30 18:41:16
9.00,23.00,0.00,VCP,2024-05_ZY_2006.0_30.0,2024-04-30 18:41:16
,,,VCP,2024-05_ZY_2021.0_30.0,2024-04-30 18:41:11
5.00,10.00,0.00,VCP,2024-05_ZY_2021.0_30.0,2024-04-30 18:41:11
5.00,15.00,0.00,VCP,2024-05_ZY_2008.0_30.0,2024-04-30 18:41:15
,,,VCP,2024-05_ZY_2003.0_30.0,2024-04-30 18:41:22
10.00,35.00,0.00,VCP,2024-05_ZY_2003.0_30.0,2024-04-30 18:41:22
,,,VCP,2024-05_ZY_2015.0_30.0,2024-04-30 18:41:28
2.00,30.00,0.00,VCP,2024-05_ZY_2015.0_30.0,2024-04-30 18:41:28
,,,VCP,2024-05_ZY_2019.0_30.0,2024-04-30 18:41:30
5.00,22.00,0.00,VCP,2024-05_ZY_2019.0_30.0,2024-04-30 18:41:30
,,,VCP,2024-05_ZY_2011.0_30.0,2024-04-30 18:41:36
3.00,30.00,0.00,VCP,2024-05_ZY_2011.0_30.0,2024-04-30 18:41:36
,,,VCP,2024-05_ZY_2017.0_30.0,2024-04-30 18:41:48
