cki_destination,cki_bag_pieces,cki_bag_weight,loadtable_destination,loadtable_bag_pieces,loadtable_bag_weight,combined,timestamp
FAO,135.0,1755.00 KG,FAO,134.0,1742.00 KG,2024-05_MN_1496.0_3.0,2024-05-03 15:13:53
ORD,213.0,3195.00 KG,ORD,211.0,3165.00 KG,2024-05_MN_1125.0_3.0,2024-05-03 15:19:06
IAD,178.0,2670.00 KG,IAD,176.0,2640.00 KG,2024-05_MN_1119.0_3.0,2024-05-03 15:23:52
FRA,127.0,1651.00 KG,FRA,128.0,1664.00 KG,2024-05_MN_1656.0_3.0,2024-05-03 15:25:43
BOS,138.0,2070.00 KG,BOS,136.0,2040.00 KG,2024-05_MN_1137.0_3.0,2024-05-03 15:25:47
IAD,178.0,2670.00 KG,IAD,179.0,2685.00 KG,2024-05_MN_1119.0_3.0,2024-05-03 15:29:30
PHL,84.0,1260.00 KG,PHL,85.0,1275.00 KG,2024-05_MN_1115.0_3.0,2024-05-03 15:32:02
JFK,170.0,2550.00 KG,JFK,169.0,2535.00 KG,2024-05_MN_1107.0_3.0,2024-05-03 15:41:43
DUS,113.0,1469.00 KG,DUS,99.0,1287.00 KG,2024-05_MN_1698.0_3.0,2024-05-03 15:57:15
DUS,113.0,1469.00 KG,DUS,100.0,1300.00 KG,2024-05_MN_1698.0_3.0,2024-05-03 15:58:39
LHR,92.0,1196.00 KG,LHR,91.0,1183.00 KG,2024-05_MN_1176.0_3.0,2024-05-03 15:59:54
BER,80.0,1040.00 KG,BER,78.0,1014.00 KG,2024-05_MN_1336.0_3.0,2024-05-03 16:11:49
BRU,104.0,1352.00 KG,BRU,97.0,1261.00 KG,2024-05_MN_1638.0_3.0,2024-05-03 16:31:27
MXP,114.0,1482.00 KG,MXP,112.0,1456.00 KG,2024-05_MN_1436.0_3.0,2024-05-03 16:42:58
CDG,92.0,1196.00 KG,CDG,78.0,1014.00 KG,2024-05_MN_1528.0_3.0,2024-05-03 17:05:43
AMS,83.0,1079.00 KG,AMS,82.0,1066.00 KG,2024-05_MN_1610.0_3.0,2024-05-03 17:09:21
LIS,115.0,1495.00 KG,LIS,108.0,1404.00 KG,2024-05_MN_1486.0_3.0,2024-05-03 17:09:23
CDG,92.0,1196.00 KG,CDG,87.0,1131.00 KG,2024-05_MN_1528.0_3.0,2024-05-03 17:21:08
LHR,102.0,1326.00 KG,LHR,91.0,1183.00 KG,2024-05_MN_1178.0_3.0,2024-05-03 17:30:04
BCN,129.0,1677.00 KG,BCN,116.0,1508.00 KG,2024-05_MN_1564.0_3.0,2024-05-03 17:40:30
PMI,172.0,2236.00 KG,PMI,165.0,2145.00 KG,2024-05_MN_1738.0_3.0,2024-05-03 17:45:07
FAO,149.0,1937.00 KG,FAO,144.0,1872.00 KG,2024-05_MN_1498.0_3.0,2024-05-03 17:51:38
BHX,104.0,1352.00 KG,BHX,96.0,1248.00 KG,2024-05_MN_1276.0_3.0,2024-05-03 18:01:49
LHR,116.0,1508.00 KG,LHR,108.0,1404.00 KG,2024-05_MN_1182.0_3.0,2024-05-03 18:19:19
LHR,101.0,1313.00 KG,LHR,92.0,1196.00 KG,2024-05_MN_1184.0_3.0,2024-05-03 19:07:32
DUB,142.0,2130.00 KG,DUB,139.0,2085.00 KG,2024-05_MN_1104.0_3.0,2024-05-03 20:19:14
DUB,249.0,3735.00 KG,DUB,227.0,3405.00 KG,2024-05_MN_1122.0_3.0,2024-05-03 20:40:06
DUB,136.0,2040.00 KG,DUB,139.0,2085.00 KG,2024-05_MN_1100.0_3.0,2024-05-03 20:53:55
DUB,205.0,3075.00 KG,DUB,203.0,3045.00 KG,2024-05_MN_1126.0_3.0,2024-05-03 21:03:58
DUB,225.0,3375.00 KG,DUB,226.0,3390.00 KG,2024-05_MN_1132.0_3.0,2024-05-03 21:05:22
DUB,105.0,1575.00 KG,DUB,104.0,1560.00 KG,2024-05_MN_1130.0_3.0,2024-05-03 21:22:23
MAN,195.0,2925.00 KG,MAN,190.0,2850.00 KG,2024-05_MN_1030.0_3.0,2024-05-03 21:46:38
MAN,195.0,2925.00 KG,MAN,202.0,10301030.00 KG,2024-05_MN_1030.0_3.0,2024-05-03 21:51:51
SNN,137.0,2055.00 KG,SNN,141.0,2115.00 KG,2024-05_MN_1134.0_3.0,2024-05-03 21:54:36
DUB,147.0,2205.00 KG,DUB,145.0,2175.00 KG,2024-05_MN_1088.0_3.0,2024-05-03 23:31:39
DUB,141.0,2115.00 KG,DUB,144.0,2160.00 KG,2024-05_MN_1086.0_4.0,2024-05-04 00:19:21
DUB,141.0,2115.00 KG,DUB,145.0,2175.00 KG,2024-05_MN_1086.0_4.0,2024-05-04 00:23:01
DUB,100.0,1500.00 KG,DUB,102.0,1530.00 KG,2024-05_MN_1114.0_4.0,2024-05-04 00:28:29
DUB,215.0,3225.00 KG,DUB,214.0,3210.00 KG,2024-05_MN_1060.0_4.0,2024-05-04 00:34:20
DUB,99.0,1485.00 KG,DUB,101.0,1515.00 KG,2024-05_MN_1114.0_4.0,2024-05-04 00:39:48
DUB,187.0,2805.00 KG,DUB,184.0,2760.00 KG,2024-05_MN_1106.0_4.0,2024-05-04 00:43:18
DUB,100.0,1500.00 KG,DUB,102.0,1530.00 KG,2024-05_MN_1114.0_4.0,2024-05-04 00:45:29
DUB,203.0,3045.00 KG,DUB,204.0,3060.00 KG,2024-05_MN_1136.0_4.0,2024-05-04 00:50:20
DUB,220.0,3300.00 KG,DUB,217.0,3255.00 KG,2024-05_MN_1124.0_4.0,2024-05-04 01:48:17
DUB,196.0,2940.00 KG,DUB,197.0,2955.00 KG,2024-05_MN_1068.0_4.0,2024-05-04 02:54:12
