cargo_weight,mail_weight,timestamp,combined
100.0,298.0,2024-05-06 09:09:04,2024-05_AB_2143.0_6.0
349.0,0.0,2024-05-06 09:07:59,2024-05_AB_2527.0_6.0
200.0,384.0,2024-05-06 09:06:52,2024-05_AB_2324.0_6.0
500.0,27.0,2024-05-06 07:46:13,2024-05_AB_2550.0_6.0
1569.0,95.0,2024-05-06 07:45:17,2024-05_AB_2504.0_6.0
0.0,1.0,2024-05-06 07:36:23,2024-05_AB_8119.0_6.0
0.0,55.0,2024-05-06 07:35:23,2024-05_AB_2629.0_6.0
1333.0,0.0,2024-05-06 07:29:14,2024-05_AB_2564.0_6.0
100.0,64.0,2024-05-06 07:25:13,2024-05_AB_2384.0_6.0
300.0,250.0,2024-05-06 06:58:15,2024-05_AB_2497.0_6.0
500.0,377.0,2024-05-06 06:50:51,2024-05_AB_2364.0_6.0
700.0,94.0,2024-05-06 06:42:23,2024-05_AB_2491.0_6.0
152.0,0.0,2024-05-06 06:20:57,2024-05_AB_2465.0_6.0
1800.0,29.0,2024-05-06 06:04:51,2024-05_AB_2451.0_6.0
600.0,70.0,2024-05-06 05:32:47,2024-05_AB_2486.0_6.0
1500.0,52.0,2024-05-06 05:29:19,2024-05_AB_2432.0_6.0
1000.0,13.0,2024-05-06 05:28:30,2024-05_AB_2108.0_6.0
1000.0,78.0,2024-05-06 05:26:24,2024-05_AB_2173.0_6.0
1000.0,30.0,2024-05-06 05:25:31,2024-05_AB_2128.0_6.0
300.0,1105.0,2024-05-06 05:23:53,2024-05_AB_2628.0_6.0
0.0,98.0,2024-05-06 05:16:57,2024-05_AB_2142.0_6.0
100.0,77.0,2024-05-06 05:16:40,2024-05_AB_2386.0_6.0
1500.0,53.0,2024-05-06 05:15:56,2024-05_AB_2110.0_6.0
1000.0,24.0,2024-05-06 05:14:47,2024-05_AB_2608.0_6.0
1000.0,74.0,2024-05-06 05:13:04,2024-05_AB_2431.0_6.0
11.0,400.0,2024-05-06 05:12:04,2024-05_AB_2379.0_6.0
222.0,0.0,2024-05-06 05:02:15,2024-05_AB_2627.0_6.0
112.0,0.0,2024-05-06 04:59:18,2024-05_AB_2394.0_6.0
2000.0,59.0,2024-05-06 04:51:36,2024-05_AB_2503.0_6.0
1800.0,94.0,2024-05-06 04:47:15,2024-05_AB_2323.0_6.0
300.0,8.0,2024-05-06 04:43:29,2024-05_AB_2563.0_6.0
100.0,89.0,2024-05-06 04:40:17,2024-05_AB_2851.0_6.0
500.0,16.0,2024-05-06 04:22:29,2024-05_AB_7583.0_6.0
51.0,0.0,2024-05-06 03:34:30,2024-05_AB_2378.0_6.0
500.0,29.0,2024-05-06 03:18:28,2024-05_AB_2526.0_6.0
1500.0,99.0,2024-05-06 03:17:19,2024-05_AB_2406.0_6.0
100.0,52.0,2024-05-06 03:15:49,2024-05_AB_2613.0_6.0
1500.0,100.0,2024-05-06 03:13:47,2024-05_AB_2498.0_6.0
141.0,0.0,2024-05-06 03:13:04,2024-05_AB_2373.0_6.0
300.0,78.0,2024-05-06 03:09:26,2024-05_AB_2519.0_6.0
788.0,0.0,2024-05-06 03:06:55,2024-05_AB_2562.0_6.0
200.0,3.0,2024-05-06 03:04:07,2024-05_AB_2781.0_6.0
1000.0,88.0,2024-05-06 03:01:43,2024-05_AB_2411.0_6.0
1500.0,18.0,2024-05-06 02:47:22,2024-05_AB_2172.0_6.0
283.0,0.0,2024-05-06 02:16:50,2024-05_AB_2380.0_6.0
1515.0,0.0,2024-05-06 02:16:30,2024-05_AB_2127.0_6.0
837.0,0.0,2024-05-06 02:16:12,2024-05_AB_2385.0_6.0
284.0,0.0,2024-05-06 02:15:45,2024-05_AB_2463.0_6.0
195.0,0.0,2024-05-06 02:15:27,2024-05_AB_2371.0_6.0
107.0,0.0,2024-05-06 01:34:40,2024-05_AB_2625.0_6.0
300.0,155.0,2024-05-06 01:34:01,2024-05_AB_2492.0_6.0
300.0,82.0,2024-05-06 01:33:01,2024-05_AB_2612.0_6.0
151.0,0.0,2024-05-06 01:19:43,2024-05_AB_2342.0_6.0
300.0,64.0,2024-05-06 01:16:42,2024-05_AB_2850.0_6.0
500.0,132.0,2024-05-06 01:03:37,2024-05_AB_2719.0_6.0
527.0,0.0,2024-05-06 00:59:39,2024-05_AB_2102.0_6.0
79.0,0.0,2024-05-05 23:38:58,2024-05_AB_2607.0_6.0
2068.0,0.0,2024-05-05 23:38:11,2024-05_AB_2518.0_6.0
579.0,0.0,2024-05-05 23:37:43,2024-05_AB_2638.0_6.0
1499.0,0.0,2024-05-05 23:37:08,2024-05_AB_2524.0_6.0
1803.0,0.0,2024-05-05 23:36:53,2024-05_AB_2410.0_6.0
1014.0,0.0,2024-05-05 23:36:23,2024-05_AB_2405.0_6.0
90.0,0.0,2024-05-05 23:35:30,2024-05_AB_2355.0_6.0
1095.0,0.0,2024-05-05 23:35:05,2024-05_AB_2485.0_6.0
834.0,0.0,2024-05-05 23:34:28,2024-05_AB_2462.0_6.0
545.0,0.0,2024-05-05 23:28:19,2024-05_AB_2421.0_6.0
488.0,0.0,2024-05-05 22:41:27,2024-05_AB_2375.0_6.0
982.0,0.0,2024-05-05 20:04:13,2024-05_AB_2312.0_6.0
2000.0,52.0,2024-05-05 20:03:17,2024-05_AB_2325.0_6.0
1000.0,43.0,2024-05-05 20:02:21,2024-05_AB_2109.0_6.0
2000.0,13.0,2024-05-05 20:01:33,2024-05_AB_2736.0_6.0
2500.0,38.0,2024-05-05 19:59:03,2024-05_AB_2561.0_6.0
200.0,67.0,2024-05-05 19:58:08,2024-05_AB_2624.0_6.0
987.0,0.0,2024-05-05 19:28:59,2024-05_AB_2145.0_6.0
800.0,19.0,2024-05-05 19:25:57,2024-05_AB_2637.0_6.0
1000.0,19.0,2024-05-05 19:25:12,2024-05_AB_2505.0_6.0
3000.0,73.0,2024-05-05 19:24:28,2024-05_AB_2340.0_6.0
2500.0,32.0,2024-05-05 19:21:55,2024-05_AB_2311.0_5.0
3000.0,40.0,2024-05-05 19:21:23,2024-05_AB_2359.0_5.0
2000.0,96.0,2024-05-05 16:13:29,2024-05_AB_2107.0_5.0
1000.0,93.0,2024-05-05 13:59:06,2024-05_AB_2439.0_6.0
1000.0,46.0,2024-05-05 13:58:16,2024-05_AB_2738.0_5.0
27.0,0.0,2024-05-05 13:57:54,2024-05_AB_2397.0_5.0
4000.0,83.0,2024-05-05 13:57:24,2024-05_AB_2350.0_5.0
1500.0,22.0,2024-05-05 13:56:39,2024-05_AB_2367.0_5.0
300.0,72.0,2024-05-05 13:55:32,2024-05_AB_2509.0_5.0
1500.0,74.0,2024-05-05 13:53:43,2024-05_AB_2409.0_5.0
3200.0,56.0,2024-05-05 13:52:38,2024-05_AB_2125.0_5.0
1200.0,74.0,2024-05-05 13:49:49,2024-05_AB_2318.0_5.0
1000.0,24.0,2024-05-05 13:48:20,2024-05_AB_2332.0_5.0
1000.0,88.0,2024-05-05 13:47:01,2024-05_AB_2366.0_5.0
824.0,40.0,2024-05-05 13:33:06,2024-05_AB_2508.0_5.0
100.0,93.0,2024-05-05 12:45:15,2024-05_AB_2551.0_5.0
2200.0,139.0,2024-05-05 12:44:45,2024-05_AB_2146.0_5.0
1200.0,41.0,2024-05-05 12:44:00,2024-05_AB_2643.0_5.0
62.0,0.0,2024-05-05 12:39:55,2024-05_AB_2630.0_5.0
1500.0,53.0,2024-05-05 12:39:19,2024-05_AB_2341.0_5.0
1000.0,12.0,2024-05-05 12:06:53,2024-05_AB_2437.0_5.0
200.0,87.0,2024-05-05 12:03:18,2024-05_AB_2349.0_5.0
500.0,93.0,2024-05-05 12:02:53,2024-05_AB_2135.0_5.0
100.0,50.0,2024-05-05 11:38:22,2024-05_AB_2424.0_5.0
0.0,93.0,2024-05-05 11:35:44,2024-05_AB_2358.0_5.0
1000.0,18.0,2024-05-05 11:33:04,2024-05_AB_2550.0_5.0
1500.0,4.0,2024-05-05 11:25:42,2024-05_AB_2120.0_5.0
1500.0,218.0,2024-05-05 11:17:37,2024-05_AB_2376.0_5.0
1200.0,264.0,2024-05-05 11:07:56,2024-05_AB_2525.0_5.0
2000.0,39.0,2024-05-05 11:00:09,2024-05_AB_2334.0_5.0
1500.0,15.0,2024-05-05 10:28:37,2024-05_AB_2541.0_5.0
300.0,2.0,2024-05-05 10:22:15,2024-05_AB_2504.0_5.0
20.0,19.0,2024-05-05 10:21:09,2024-05_AB_2510.0_5.0
1500.0,71.0,2024-05-05 10:20:59,2024-05_AB_2124.0_5.0
1077.0,30.0,2024-05-05 10:17:29,2024-05_AB_2629.0_5.0
1137.0,72.0,2024-05-05 10:15:48,2024-05_AB_2401.0_5.0
0.0,44.0,2024-05-05 10:15:09,2024-05_AB_1071.0_5.0
1000.0,96.0,2024-05-05 10:06:58,2024-05_AB_2642.0_5.0
1848.0,26.0,2024-05-05 09:54:37,2024-05_AB_2407.0_5.0
800.0,84.0,2024-05-05 09:47:48,2024-05_AB_1070.0_5.0
1007.0,101.0,2024-05-05 09:46:19,2024-05_AB_2104.0_5.0
1000.0,78.0,2024-05-05 09:46:15,2024-05_AB_2134.0_5.0
500.0,77.0,2024-05-05 09:45:31,2024-05_AB_2365.0_5.0
300.0,73.0,2024-05-05 09:45:00,2024-05_AB_2143.0_5.0
200.0,59.0,2024-05-05 09:31:27,2024-05_AB_2324.0_5.0
0.0,15.0,2024-05-05 09:23:39,2024-05_AB_2491.0_5.0
1500.0,19.0,2024-05-05 09:05:44,2024-05_AB_2527.0_5.0
1500.0,262.0,2024-05-05 08:40:23,2024-05_AB_2564.0_5.0
578.0,0.0,2024-05-05 08:31:50,2024-05_AB_2108.0_5.0
1581.0,0.0,2024-05-05 08:30:04,2024-05_AB_2128.0_5.0
300.0,137.0,2024-05-05 07:29:07,2024-05_AB_2497.0_5.0
198.0,0.0,2024-05-05 07:27:28,2024-05_AB_2142.0_5.0
1000.0,187.0,2024-05-05 07:25:46,2024-05_AB_2364.0_5.0
753.0,176.0,2024-05-05 07:01:13,2024-05_AB_2386.0_5.0
2000.0,94.0,2024-05-05 06:58:40,2024-05_AB_2608.0_5.0
179.0,0.0,2024-05-05 06:52:25,2024-05_AB_2465.0_5.0
655.0,109.0,2024-05-05 06:49:10,2024-05_AB_2431.0_5.0
73.0,0.0,2024-05-05 06:42:24,2024-05_AB_2384.0_5.0
2873.0,174.0,2024-05-05 06:42:05,2024-05_AB_2503.0_5.0
1622.0,0.0,2024-05-05 06:40:21,2024-05_AB_2628.0_5.0
998.0,0.0,2024-05-05 06:36:59,2024-05_AB_2110.0_5.0
500.0,50.0,2024-05-05 06:14:25,2024-05_AB_2486.0_5.0
194.0,0.0,2024-05-05 06:10:59,2024-05_AB_2379.0_5.0
2084.0,0.0,2024-05-05 06:06:28,2024-05_AB_2451.0_5.0
81.0,77.0,2024-05-05 05:36:45,2024-05_AB_2534.0_5.0
1624.0,1.0,2024-05-05 05:36:44,2024-05_AB_2377.0_5.0
1000.0,91.0,2024-05-05 05:35:35,2024-05_AB_2173.0_5.0
1196.0,13.0,2024-05-05 05:35:13,2024-05_AB_2432.0_5.0
603.0,44.0,2024-05-05 05:32:01,2024-05_AB_2563.0_5.0
278.0,0.0,2024-05-05 05:19:11,2024-05_AB_2380.0_5.0
117.0,0.0,2024-05-05 05:18:10,2024-05_AB_2627.0_5.0
414.0,0.0,2024-05-05 05:17:43,2024-05_AB_2323.0_5.0
100.0,54.0,2024-05-05 05:04:47,2024-05_AB_2613.0_5.0
912.0,0.0,2024-05-05 04:59:08,2024-05_AB_2498.0_5.0
1571.0,0.0,2024-05-05 04:28:12,2024-05_AB_2127.0_5.0
993.0,0.0,2024-05-05 04:26:50,2024-05_AB_2572.0_5.0
200.0,49.0,2024-05-05 04:18:38,2024-05_AB_2394.0_5.0
1200.0,143.0,2024-05-05 04:13:24,2024-05_AB_2519.0_5.0
500.0,64.0,2024-05-05 04:12:05,2024-05_AB_2526.0_5.0
146.0,0.0,2024-05-05 03:35:24,2024-05_AB_2371.0_5.0
500.0,48.0,2024-05-05 03:23:56,2024-05_AB_2851.0_5.0
500.0,48.0,2024-05-05 03:23:40,2024-05_AB_2533.0_5.0
800.0,2.0,2024-05-05 03:21:57,2024-05_AB_2463.0_5.0
800.0,45.0,2024-05-05 03:14:44,2024-05_AB_2373.0_5.0
3000.0,101.0,2024-05-05 02:21:03,2024-05_AB_2172.0_5.0
1500.0,107.0,2024-05-05 02:04:24,2024-05_AB_2462.0_5.0
2000.0,34.0,2024-05-05 01:59:14,2024-05_AB_2385.0_5.0
84.0,0.0,2024-05-05 01:28:45,2024-05_AB_2378.0_5.0
2000.0,9.0,2024-05-05 01:26:52,2024-05_AB_2406.0_5.0
2000.0,13.0,2024-05-05 01:22:41,2024-05_AB_7582.0_5.0
1500.0,20.0,2024-05-05 01:16:01,2024-05_AB_2102.0_5.0
87.0,0.0,2024-05-05 01:12:47,2024-05_AB_2492.0_5.0
500.0,124.0,2024-05-05 01:09:28,2024-05_AB_2612.0_5.0
500.0,29.0,2024-05-05 01:08:54,2024-05_AB_2638.0_5.0
2500.0,108.0,2024-05-05 01:08:32,2024-05_AB_2518.0_5.0
2500.0,44.0,2024-05-05 01:05:21,2024-05_AB_2719.0_5.0
2500.0,9.0,2024-05-05 01:02:55,2024-05_AB_2342.0_5.0
2000.0,12.0,2024-05-05 00:52:55,2024-05_AB_2562.0_5.0
0.0,4.0,2024-05-05 00:43:03,2024-05_AB_2607.0_5.0
2401.0,72.0,2024-05-05 00:41:51,2024-05_AB_2781.0_5.0
2000.0,12.0,2024-05-05 00:39:04,2024-05_AB_2625.0_5.0
3800.0,64.0,2024-05-05 00:38:17,2024-05_AB_2405.0_5.0
500.0,63.0,2024-05-04 23:59:10,2024-05_AB_2850.0_5.0
2800.0,54.0,2024-05-04 23:54:54,2024-05_AB_2524.0_5.0
1000.0,11.0,2024-05-04 23:49:45,2024-05_AB_2375.0_5.0
1000.0,95.0,2024-05-04 23:20:50,2024-05_AB_2485.0_5.0
1000.0,35.0,2024-05-04 23:20:07,2024-05_AB_2372.0_5.0
800.0,47.0,2024-05-04 23:19:38,2024-05_AB_2421.0_5.0
2500.0,62.0,2024-05-04 21:59:16,2024-05_AB_2561.0_5.0
200.0,17.0,2024-05-04 21:57:45,2024-05_AB_2624.0_5.0
1773.0,73.0,2024-05-04 21:14:54,2024-05_AB_2355.0_5.0
3200.0,23.0,2024-05-04 20:23:38,2024-05_AB_2410.0_5.0
2000.0,32.0,2024-05-04 20:22:40,2024-05_AB_2312.0_5.0
2570.0,0.0,2024-05-04 20:21:54,2024-05_AB_2325.0_5.0
993.0,0.0,2024-05-04 20:21:02,2024-05_AB_2109.0_5.0
2800.0,88.0,2024-05-04 20:20:21,2024-05_AB_2736.0_5.0
3800.0,69.0,2024-05-04 20:19:18,2024-05_AB_2145.0_5.0
2500.0,14.0,2024-05-04 20:17:04,2024-05_AB_2637.0_5.0
794.0,0.0,2024-05-04 20:15:16,2024-05_AB_2505.0_5.0
2800.0,48.0,2024-05-04 20:14:26,2024-05_AB_2340.0_5.0
3000.0,37.0,2024-05-04 20:13:31,2024-05_AB_2311.0_4.0
3000.0,56.0,2024-05-04 20:12:16,2024-05_AB_2359.0_4.0
2000.0,44.0,2024-05-04 16:38:29,2024-05_AB_2107.0_4.0
2500.0,32.0,2024-05-04 15:38:42,2024-05_AB_2318.0_4.0
2171.0,77.0,2024-05-04 15:14:25,2024-05_AB_2332.0_4.0
300.0,74.0,2024-05-04 14:38:58,2024-05_AB_2509.0_4.0
2000.0,99.0,2024-05-04 14:22:18,2024-05_AB_2439.0_5.0
1500.0,16.0,2024-05-04 14:21:25,2024-05_AB_2738.0_4.0
1180.0,0.0,2024-05-04 14:16:32,2024-05_AB_2367.0_4.0
2033.0,0.0,2024-05-04 14:13:50,2024-05_AB_2350.0_4.0
1374.0,0.0,2024-05-04 14:12:16,2024-05_AB_2146.0_4.0
1200.0,89.0,2024-05-04 14:05:24,2024-05_AB_2366.0_4.0
0.0,52.0,2024-05-04 14:04:13,2024-05_AB_2397.0_4.0
