cargo_estimate,mail_estimate,timestamp_estimate,combined,cargo_total,mail_total,departure_airport,timestamp_total
1998.0,0.0,2024-05-06 19:28:04,2024-05_AB_2372.0_6.0,0.0,0.0,GAU,2024-05-07 01:26:03
3000.0,44.0,2024-05-06 19:24:50,2024-05_AB_2311.0_6.0,2673.0,0.0,BLR,2024-05-06 23:17:25
3000.0,77.0,2024-05-06 19:24:01,2024-05_AB_2359.0_6.0,2688.0,0.0,BLR,2024-05-06 22:37:12
2000.0,183.0,2024-05-06 14:39:48,2024-05_AB_2838.0_6.0,1478.0,0.0,BOM,2024-05-06 18:50:54
1200.0,109.0,2024-05-06 14:38:37,2024-05_AB_2367.0_6.0,2171.0,0.0,BOM,2024-05-06 16:57:46
2503.0,0.0,2024-05-06 14:38:27,2024-05_AB_2107.0_6.0,1429.0,0.0,BOM,2024-05-06 20:03:12
1500.0,448.0,2024-05-06 14:37:55,2024-05_AB_2439.0_7.0,668.0,0.0,BOM,2024-05-06 19:04:30
2146.0,0.0,2024-05-06 14:35:31,2024-05_AB_2318.0_6.0,2167.0,0.0,PNQ,2024-05-06 17:23:23
2559.0,0.0,2024-05-06 14:01:00,2024-05_AB_2332.0_6.0,2703.0,0.0,AMD,2024-05-06 16:18:57
593.0,0.0,2024-05-06 13:59:07,2024-05_AB_2366.0_6.0,310.0,0.0,BLR,2024-05-06 16:22:42
1200.0,172.0,2024-05-06 13:47:03,2024-05_AB_2509.0_6.0,752.0,0.0,PNQ,2024-05-06 16:17:22
312.0,0.0,2024-05-06 13:17:28,2024-05_AB_2397.0_6.0,0.0,0.0,GOX,2024-05-06 15:23:40
1200.0,102.0,2024-05-06 12:30:26,2024-05_AB_2409.0_6.0,143.0,0.0,DEL,2024-05-06 15:58:22
3000.0,128.0,2024-05-06 12:25:13,2024-05_AB_2125.0_6.0,2679.0,0.0,CCU,2024-05-06 16:25:23
300.0,187.0,2024-05-06 12:18:40,2024-05_AB_2551.0_6.0,0.0,0.0,PNQ,2024-05-06 15:13:40
1000.0,338.0,2024-05-06 12:18:01,2024-05_AB_2350.0_6.0,331.0,0.0,DEL,2024-05-06 16:19:23
1000.0,232.0,2024-05-06 12:12:02,2024-05_AB_2146.0_6.0,80.0,0.0,DEL,2024-05-06 16:07:57
1000.0,325.0,2024-05-06 12:10:46,2024-05_AB_2643.0_6.0,187.0,0.0,HYD,2024-05-06 15:57:45
129.0,0.0,2024-05-06 12:05:41,2024-05_AB_2424.0_6.0,0.0,0.0,VNS,2024-05-06 13:47:27
1200.0,218.0,2024-05-06 11:57:29,2024-05_AB_2341.0_6.0,1605.0,0.0,BOM,2024-05-06 15:19:30
500.0,194.0,2024-05-06 11:46:15,2024-05_AB_2135.0_6.0,0.0,0.0,GAU,2024-05-06 14:49:14
3000.0,411.0,2024-05-06 11:45:31,2024-05_AB_2508.0_6.0,2102.0,0.0,AMD,2024-05-06 14:56:30
48.0,0.0,2024-05-06 10:49:04,2024-05_AB_2358.0_6.0,0.0,0.0,GOX,2024-05-06 12:54:21
301.0,0.0,2024-05-06 10:45:50,2024-05_AB_2572.0_6.0,301.0,0.0,CCU,2024-05-06 10:45:13
1200.0,144.0,2024-05-06 10:38:34,2024-05_AB_2525.0_6.0,240.0,0.0,BOM,2024-05-06 14:37:51
800.0,169.0,2024-05-06 10:06:48,2024-05_AB_2401.0_6.0,92.0,0.0,LKO,2024-05-06 13:49:04
3000.0,1.0,2024-05-06 09:58:05,2024-05_AB_2541.0_6.0,2871.0,0.0,CCU,2024-05-06 21:08:43
200.0,77.0,2024-05-06 09:57:12,2024-05_AB_2349.0_6.0,0.0,0.0,BOM,2024-05-06 13:23:09
1800.0,52.0,2024-05-06 09:52:01,2024-05_AB_2120.0_6.0,424.0,0.0,BOM,2024-05-06 13:12:17
2800.0,181.0,2024-05-06 09:50:55,2024-05_AB_2334.0_6.0,211.0,0.0,DEL,2024-05-06 12:40:37
1800.0,108.0,2024-05-06 09:47:14,2024-05_AB_2124.0_6.0,147.0,0.0,BOM,2024-05-06 12:11:33
300.0,537.0,2024-05-06 09:27:08,2024-05_AB_2437.0_6.0,579.0,0.0,BLR,2024-05-06 14:12:45
1007.0,0.0,2024-05-06 09:25:56,2024-05_AB_2407.0_6.0,1145.0,0.0,HYD,2024-05-06 12:44:24
1000.0,425.0,2024-05-06 09:17:40,2024-05_AB_2642.0_6.0,2.0,0.0,BOM,2024-05-06 13:28:13
