combined,timestamp,blockfuel_main1,blockfuel_trim,takeofffuel_main1,takeofffuel_trim,trip_fuel,max_fuel_cap,minimum_tof,taxi_fuel,takeoff_fuel
2024-05_AB_2498.0_30.0,2024-04-30 07:15:53,,,,,4167.0,21961.0,7895.0,330.0,7970.0
2024-05_AB_2498.0_30.0,2024-04-30 07:15:53,,,,,,,,,
2024-05_AB_2627.0_30.0,2024-04-30 07:17:28,,,,,2403.0,20724.0,8679.0,198.0,7900.0
2024-05_AB_2627.0_30.0,2024-04-30 07:17:28,,,,,,,,,
2024-05_AB_2627.0_30.0,2024-04-30 07:17:48,,,,,2403.0,20724.0,8679.0,198.0,7702.0
2024-05_AB_2627.0_30.0,2024-04-30 07:17:48,,,,,,,,,
2024-05_AB_2110.0_30.0,2024-04-30 07:20:21,,,,,3283.0,21961.0,7095.0,352.0,7095.0
2024-05_AB_2127.0_30.0,2024-04-30 07:21:07,,,,,3764.0,21961.0,7587.0,330.0,7970.0
2024-05_AB_2127.0_30.0,2024-04-30 07:21:07,,,,,,,,,
2024-05_AB_2143.0_30.0,2024-04-30 07:23:54,,,,,1409.0,21961.0,5009.0,231.0,5009.0
2024-05_AB_2142.0_30.0,2024-04-30 07:26:56,,,,,1585.0,21961.0,7070.0,220.0,7070.0
2024-05_AB_2386.0_30.0,2024-04-30 07:28:58,,,,,6619.0,21961.0,10773.0,209.0,10773.0
2024-05_AB_2386.0_30.0,2024-04-30 07:29:28,,,,,6619.0,21961.0,10773.0,209.0,10773.0
2024-05_AB_2364.0_30.0,2024-04-30 07:36:29,,,,,2909.0,20724.0,6238.0,319.0,6238.0
2024-05_AB_2364.0_30.0,2024-04-30 07:37:00,,,,,2909.0,20724.0,6238.0,319.0,6238.0
2024-05_AB_2365.0_30.0,2024-04-30 07:40:01,,,,,2790.0,20724.0,6227.0,231.0,6227.0
2024-05_AB_2365.0_30.0,2024-04-30 07:40:32,,,,,2790.0,20724.0,6227.0,231.0,6227.0
2024-05_AB_2384.0_30.0,2024-04-30 07:42:33,,,,,4070.0,21961.0,10557.0,198.0,10557.0
2024-05_AB_2486.0_30.0,2024-04-30 07:43:18,,,,,1612.0,21961.0,5646.0,198.0,5702.0
2024-05_AB_2486.0_30.0,2024-04-30 07:43:18,,,,,,,,,
2024-05_AB_2380.0_30.0,2024-04-30 07:49:34,,,,,1752.0,21961.0,5427.0,352.0,6000.0
2024-05_AB_2380.0_30.0,2024-04-30 07:49:34,,,,,,,,,
2024-05_AB_2380.0_30.0,2024-04-30 07:49:50,,,,,1752.0,21961.0,5427.0,352.0,5648.0
2024-05_AB_2380.0_30.0,2024-04-30 07:49:50,,,,,,,,,
2024-05_AB_2628.0_30.0,2024-04-30 07:52:05,,,,,2259.0,20724.0,6130.0,319.0,6130.0
2024-05_AB_2628.0_30.0,2024-04-30 07:52:36,,,,,2259.0,20724.0,6130.0,319.0,6130.0
2024-05_AB_2629.0_30.0,2024-04-30 08:00:07,,,,,4693.0,20724.0,13301.0,220.0,13301.0
2024-05_AB_2629.0_30.0,2024-04-30 08:00:38,,,,,4693.0,20724.0,13301.0,220.0,13301.0
2024-05_AB_2432.0_30.0,2024-04-30 08:06:09,,,,,1968.0,21961.0,5720.0,319.0,5720.0
2024-05_AB_2173.0_30.0,2024-04-30 08:09:37,,,,,5783.0,21961.0,9890.0,198.0,9902.0
2024-05_AB_2173.0_30.0,2024-04-30 08:09:37,,,,,,,,,
2024-05_AB_2324.0_30.0,2024-04-30 08:09:41,,,,,6679.0,21961.0,10249.0,209.0,10249.0
2024-05_AB_2128.0_30.0,2024-04-30 08:09:42,,,,,4412.0,21961.0,8688.0,253.0,8688.0
2024-05_AB_2128.0_30.0,2024-04-30 08:10:13,,,,,4412.0,21961.0,8688.0,253.0,8688.0
2024-05_AB_2503.0_30.0,2024-04-30 08:12:05,,,,,6129.0,21961.0,12172.0,352.0,12948.0
2024-05_AB_2503.0_30.0,2024-04-30 08:12:05,,,,,,,,,
2024-05_AB_2148.0_30.0,2024-04-30 08:15:53,,,,,3958.0,21961.0,12233.0,308.0,12292.0
2024-05_AB_2148.0_30.0,2024-04-30 08:15:53,,,,,,,,,
2024-05_AB_2108.0_30.0,2024-04-30 08:16:15,,,,,2556.0,21961.0,9599.0,253.0,9599.0
2024-05_AB_2108.0_30.0,2024-04-30 08:16:45,,,,,2556.0,21961.0,9599.0,253.0,9599.0
2024-05_AB_2377.0_30.0,2024-04-30 08:23:32,,,,,,21961.0,,,9500.0
2024-05_AB_2377.0_30.0,2024-04-30 08:23:32,,,,,,,,,
2024-05_AB_2377.0_30.0,2024-04-30 08:23:37,,,,,,21961.0,,319.0,9500.0
2024-05_AB_2377.0_30.0,2024-04-30 08:23:37,,,,,,,,,
2024-05_AB_2377.0_30.0,2024-04-30 08:23:41,,,,,5187.0,21961.0,,319.0,9500.0
2024-05_AB_2377.0_30.0,2024-04-30 08:23:41,,,,,,,,,
2024-05_AB_2527.0_30.0,2024-04-30 08:25:16,,,,,4900.0,21961.0,8432.0,319.0,8432.0
2024-05_AB_2377.0_30.0,2024-04-30 08:25:21,,,,,5187.0,21961.0,,319.0,9181.0
2024-05_AB_2377.0_30.0,2024-04-30 08:25:21,,,,,,,,,
2024-05_AB_2431.0_30.0,2024-04-30 08:25:35,,,,,2072.0,21961.0,10425.0,209.0,10691.0
2024-05_AB_2431.0_30.0,2024-04-30 08:25:35,,,,,,,,,
2024-05_AB_2527.0_30.0,2024-04-30 08:26:17,,,,,4900.0,21961.0,8432.0,319.0,8432.0
2024-05_AB_2451.0_30.0,2024-04-30 08:31:59,,,,,3968.0,21961.0,7207.0,352.0,7248.0
2024-05_AB_2451.0_30.0,2024-04-30 08:31:59,,,,,,,,,
2024-05_AB_2401.0_30.0,2024-04-30 08:33:18,,,,,5125.0,21961.0,10170.0,231.0,10170.0
2024-05_AB_2401.0_30.0,2024-04-30 08:33:50,,,,,5125.0,21961.0,10170.0,231.0,10170.0
2024-05_AB_2379.0_30.0,2024-04-30 08:53:55,,,,,4945.0,20724.0,12272.0,220.0,12280.0
