,id,creation_time,airline_code,flight_number,flight_date,departure_airport,user_name,action_name,header_line,entry_details
28935,375560971,2024-05-07 04:21:15,ZY,6075,7,BVB,service-acco,AutomaticNotificationAction,"2024-05-07 04:21:15,095 INFO  [56abec65ac09b25d] [ZY6075 /07 BVB | service-acco | AutomaticNotificationAction         |                                | Thread-24454 (ActiveMQ-client-global-threads)]  Saved:",STATUS AIRCRAFT_CONFIG 1 EZFW 1 CARGO_FINAL 1 CARGO_TRANSFER 1 CABIN_CONFIG 1 CALC_HIST_DATA 1 AUTO_MODE_ACTIVE 1 AUTOMATION_STARTED 0 EZFW_COUNTER 1 REGISTRATION 1 REGISTRATION_CHANGE 1
30586,375169796,2024-05-01 00:33:36,ZY,119,30,NAT,service-acco,ASMMsgProcessor,"2024-05-01 00:33:36,998 INFO  [5f9f4e2062a899af] [ZY119 /30 NAT | service-acco | ASMMsgProcessor                     |                                | Thread-30806 (ActiveMQ-client-global-threads)]  Received:","<?xml version=""1.0"" encoding=""UTF-8""?><ns2:OSSChangeMessage xmlns:ns2=""http://www.systemone.com/iocc/oss/notification/OssChangeMessage-1.3.0"">
<changeDescriptor>
        <changeDetail>
            <changeLocation>/OSSChangeMessage/newFlight/leg[1]/aircraftRegistration</changeLocation>
            <changeDescription>
                <actionCode>EQT</actionCode>
            </changeDescription>
        </changeDetail>
    </changeDescriptor>
<oldFlight>
        <identity>
            <carrier>ZY</carrier>
            <dayOfOrigin>2024-04-30Z</dayOfOrigin>
            <number>119</number>
            <id>30442729</id>
            <version>3</version>
        </identity>
        <leg>
            <scheduleState>SKD</scheduleState>
            <departureAirport>NAT</departureAirport>
            <departureTime>2024-04-30T06:00:00.000Z</departureTime>
            <arrivalAirport>VCP</arrivalAirport>
            <arrivalTime>2024-04-30T09:20:00.000Z</arrivalTime>
            <aircraftRegistration>ZYXRB</aircraftRegistration>
            <aircraftSubtype>32N</aircraftSubtype>
            <aircraftVersion>Y174</aircraftVersion>
            <serviceType>G</serviceType>
            <nonOperational>false</nonOperational>
            <flifoCancel>false</flifoCancel>
            <sequenceNumber>1</sequenceNumber>
            <id>53360324</id>
        </leg>
    </oldFlight>
<newFlight>
        <identity>
            <carrier>ZY</carrier>
            <dayOfOrigin>2024-04-30Z</dayOfOrigin>
            <number>119</number>
            <id>30442729</id>
            <version>4</version>
        </identity>
        <leg>
            <scheduleState>SKD</scheduleState>
            <departureAirport>NAT</departureAirport>
            <departureTime>2024-04-30T06:00:00.000Z</departureTime>
            <arrivalAirport>VCP</arrivalAirport>
            <arrivalTime>2024-04-30T09:20:00.000Z</arrivalTime>
            <aircraftRegistration>ZYXRC</aircraftRegistration>
            <aircraftSubtype>32N</aircraftSubtype>
            <aircraftVersion>Y174</aircraftVersion>
            <serviceType>G</serviceType>
            <nonOperational>false</nonOperational>
            <flifoCancel>false</flifoCancel>
            <sequenceNumber>1</sequenceNumber>
            <id>53360324</id>
        </leg>
    </newFlight>
</ns2:OSSChangeMessage>"
30601,375169973,2024-05-01 00:33:37,ZY,119,30,NAT,service-acco,ASMMsgProcessor,"2024-05-01 00:33:37,028 INFO  [5f9f4e2062a899af] [ZY119 /30 NAT | service-acco | ASMMsgProcessor                     |                                | Thread-30806 (ActiveMQ-client-global-threads)]  Saved:",The message was processed successfully
30678,375170821,2024-05-01 00:33:49,ZY,6075,30,BVB,service-acco,ASMMsgProcessor,"2024-05-01 00:33:49,514 INFO  [993519e77513e80d] [ZY6075 /30 BVB | service-acco | ASMMsgProcessor                     |                                | Thread-30803 (ActiveMQ-client-global-threads)]  Received:","<?xml version=""1.0"" encoding=""UTF-8""?><ns2:OSSChangeMessage xmlns:ns2=""http://www.systemone.com/iocc/oss/notification/OssChangeMessage-1.3.0"">
<changeDescriptor>
        <changeDetail>
            <changeLocation>/OSSChangeMessage/newFlight/leg[1]/aircraftRegistration</changeLocation>
            <changeDescription>
                <actionCode>EQT</actionCode>
            </changeDescription>
        </changeDetail>
    </changeDescriptor>
<oldFlight>
        <identity>
            <carrier>ZY</carrier>
            <dayOfOrigin>2024-04-30Z</dayOfOrigin>
            <number>6075</number>
            <id>30442663</id>
            <version>3</version>
        </identity>
        <leg>
            <scheduleState>SKD</scheduleState>
            <departureAirport>BVB</departureAirport>
            <departureTime>2024-04-30T05:20:00.000Z</departureTime>
            <arrivalAirport>MAO</arrivalAirport>
            <arrivalTime>2024-04-30T06:35:00.000Z</arrivalTime>
            <aircraftRegistration>ZYXRA</aircraftRegistration>
            <aircraftSubtype>32N</aircraftSubtype>
            <aircraftVersion>Y174</aircraftVersion>
            <serviceType>J</serviceType>
            <nonOperational>false</nonOperational>
            <flifoCancel>false</flifoCancel>
            <sequenceNumber>1</sequenceNumber>
            <id>53360252</id>
        </leg>
    </oldFlight>
<newFlight>
        <identity>
            <carrier>ZY</carrier>
            <dayOfOrigin>2024-04-30Z</dayOfOrigin>
            <number>6075</number>
            <id>30442663</id>
            <version>4</version>
        </identity>
        <leg>
            <scheduleState>SKD</scheduleState>
            <departureAirport>BVB</departureAirport>
            <departureTime>2024-04-30T05:20:00.000Z</departureTime>
            <arrivalAirport>MAO</arrivalAirport>
            <arrivalTime>2024-04-30T06:35:00.000Z</arrivalTime>
            <aircraftRegistration>ZYXRH</aircraftRegistration>
            <aircraftSubtype>32N</aircraftSubtype>
            <aircraftVersion>Y174</aircraftVersion>
            <serviceType>J</serviceType>
            <nonOperational>false</nonOperational>
            <flifoCancel>false</flifoCancel>
            <sequenceNumber>1</sequenceNumber>
            <id>53360252</id>
        </leg>
    </newFlight>
</ns2:OSSChangeMessage>"
30683,375170878,2024-05-01 00:33:49,ZY,6075,30,BVB,service-acco,ASMMsgProcessor,"2024-05-01 00:33:49,544 INFO  [993519e77513e80d] [ZY6075 /30 BVB | service-acco | ASMMsgProcessor                     |                                | Thread-30803 (ActiveMQ-client-global-threads)]  Saved:",The message was processed successfully
30951,375173470,2024-05-01 00:34:25,ZY,5027,30,SSA,service-acco,ASMMsgProcessor,"2024-05-01 00:34:25,511 INFO  [56d99777b691105d] [ZY5027 /30 SSA | service-acco | ASMMsgProcessor                     |                                | Thread-30796 (ActiveMQ-client-global-threads)]  Received:","<?xml version=""1.0"" encoding=""UTF-8""?><ns2:OSSChangeMessage xmlns:ns2=""http://www.systemone.com/iocc/oss/notification/OssChangeMessage-1.3.0"">
<changeDescriptor>
        <changeDetail>
            <changeLocation>/OSSChangeMessage/newFlight/leg[1]/aircraftRegistration</changeLocation>
            <changeDescription>
                <actionCode>EQT</actionCode>
            </changeDescription>
        </changeDetail>
    </changeDescriptor>
<oldFlight>
        <identity>
            <carrier>ZY</carrier>
            <dayOfOrigin>2024-04-30Z</dayOfOrigin>
            <number>5027</number>
            <id>30442844</id>
            <version>3</version>
        </identity>
        <leg>
            <scheduleState>SKD</scheduleState>
            <departureAirport>SSA</departureAirport>
            <departureTime>2024-04-30T05:40:00.000Z</departureTime>
            <arrivalAirport>VCP</arrivalAirport>
            <arrivalTime>2024-04-30T08:05:00.000Z</arrivalTime>
            <aircraftRegistration>ZYXRH</aircraftRegistration>
            <aircraftSubtype>32N</aircraftSubtype>
            <aircraftVersion>Y174</aircraftVersion>
            <serviceType>J</serviceType>
            <nonOperational>false</nonOperational>
            <flifoCancel>false</flifoCancel>
            <sequenceNumber>1</sequenceNumber>
            <id>53360445</id>
        </leg>
    </oldFlight>
<newFlight>
        <identity>
            <carrier>ZY</carrier>
            <dayOfOrigin>2024-04-30Z</dayOfOrigin>
            <number>5027</number>
            <id>30442844</id>
            <version>4</version>
        </identity>
        <leg>
            <scheduleState>SKD</scheduleState>
            <departureAirport>SSA</departureAirport>
            <departureTime>2024-04-30T05:40:00.000Z</departureTime>
            <arrivalAirport>VCP</arrivalAirport>
            <arrivalTime>2024-04-30T08:05:00.000Z</arrivalTime>
            <aircraftRegistration>ZYXSK</aircraftRegistration>
            <aircraftSubtype>32N</aircraftSubtype>
            <aircraftVersion>Y174</aircraftVersion>
            <serviceType>J</serviceType>
            <nonOperational>false</nonOperational>
            <flifoCancel>false</flifoCancel>
            <sequenceNumber>1</sequenceNumber>
            <id>53360445</id>
        </leg>
    </newFlight>
</ns2:OSSChangeMessage>"
30952,375173477,2024-05-01 00:34:25,ZY,5027,30,SSA,service-acco,ASMMsgProcessor,"2024-05-01 00:34:25,521 INFO  [56d99777b691105d] [ZY5027 /30 SSA | service-acco | ASMMsgProcessor                     |                                | Thread-30796 (ActiveMQ-client-global-threads)]  Saved:",The message was processed successfully
32298,375221956,2024-05-01 13:02:26,ZY,5027,7,SSA,service-acco,ASMMsgProcessor,"2024-05-01 13:02:26,497 INFO  [25455b2cb1c4b713] [ZY5027 /07 SSA | service-acco | ASMMsgProcessor                     |                                | Thread-34161 (ActiveMQ-client-global-threads)]  Received:","<?xml version=""1.0"" encoding=""UTF-8""?><ns2:OSSChangeMessage xmlns:ns2=""http://www.systemone.com/iocc/oss/notification/OssChangeMessage-1.3.0"">
<changeDescriptor>
        <changeDetail>
            <changeLocation>/OSSChangeMessage/newFlight</changeLocation>
            <changeDescription>
                <actionCode>NEW</actionCode>
            </changeDescription>
        </changeDetail>
    </changeDescriptor>
<newFlight>
        <identity>
            <carrier>ZY</carrier>
            <dayOfOrigin>2024-05-07Z</dayOfOrigin>
            <number>5027</number>
            <id>0</id>
            <version>0</version>
        </identity>
        <leg>
            <scheduleState>SKD</scheduleState>
            <departureAirport>SSA</departureAirport>
            <departureTime>2024-05-07T05:45:00.000Z</departureTime>
            <arrivalAirport>VCP</arrivalAirport>
            <arrivalTime>2024-05-07T08:10:00.000Z</arrivalTime>
            <aircraftSubtype>295</aircraftSubtype>
            <aircraftVersion>F0C0Y0</aircraftVersion>
            <serviceType>J</serviceType>
            <nonOperational>false</nonOperational>
            <flifoCancel>false</flifoCancel>
            <sequenceNumber>1</sequenceNumber>
            <id>0</id>
        </leg>
    </newFlight>
</ns2:OSSChangeMessage>"
32299,375221961,2024-05-01 13:02:26,ZY,5027,7,SSA,service-acco,ASMMsgProcessor,"2024-05-01 13:02:26,504 INFO  [25455b2cb1c4b713] [ZY5027 /07 SSA | service-acco | ASMMsgProcessor                     |                                | Thread-34161 (ActiveMQ-client-global-threads)]  Saved:",The message was processed successfully
32672,375223240,2024-05-01 13:03:05,ZY,6075,7,BVB,service-acco,ASMMsgProcessor,"2024-05-01 13:03:05,170 INFO  [5bbdccf5fc882e49] [ZY6075 /07 BVB | service-acco | ASMMsgProcessor                     |                                | Thread-34160 (ActiveMQ-client-global-threads)]  Received:","<?xml version=""1.0"" encoding=""UTF-8""?><ns2:OSSChangeMessage xmlns:ns2=""http://www.systemone.com/iocc/oss/notification/OssChangeMessage-1.3.0"">
<changeDescriptor>
        <changeDetail>
            <changeLocation>/OSSChangeMessage/newFlight</changeLocation>
            <changeDescription>
                <actionCode>NEW</actionCode>
            </changeDescription>
        </changeDetail>
    </changeDescriptor>
<newFlight>
        <identity>
            <carrier>ZY</carrier>
            <dayOfOrigin>2024-05-07Z</dayOfOrigin>
            <number>6075</number>
            <id>0</id>
            <version>0</version>
        </identity>
        <leg>
            <scheduleState>SKD</scheduleState>
            <departureAirport>BVB</departureAirport>
            <departureTime>2024-05-07T05:20:00.000Z</departureTime>
            <arrivalAirport>MAO</arrivalAirport>
            <arrivalTime>2024-05-07T06:35:00.000Z</arrivalTime>
            <aircraftSubtype>32N</aircraftSubtype>
            <aircraftVersion>F0C0Y0</aircraftVersion>
            <serviceType>J</serviceType>
            <nonOperational>false</nonOperational>
            <flifoCancel>false</flifoCancel>
            <sequenceNumber>1</sequenceNumber>
            <id>0</id>
        </leg>
    </newFlight>
</ns2:OSSChangeMessage>"
32673,375223245,2024-05-01 13:03:05,ZY,6075,7,BVB,service-acco,ASMMsgProcessor,"2024-05-01 13:03:05,177 INFO  [5bbdccf5fc882e49] [ZY6075 /07 BVB | service-acco | ASMMsgProcessor                     |                                | Thread-34160 (ActiveMQ-client-global-threads)]  Saved:",The message was processed successfully
33081,375224699,2024-05-01 13:03:49,ZY,5027,7,SSA,service-acco,ASMMsgProcessor,"2024-05-01 13:03:49,855 INFO  [11f1a4491c411762] [ZY5027 /07 SSA | service-acco | ASMMsgProcessor                     |                                | Thread-34161 (ActiveMQ-client-global-threads)]  Received:","<?xml version=""1.0"" encoding=""UTF-8""?><ns2:OSSChangeMessage xmlns:ns2=""http://www.systemone.com/iocc/oss/notification/OssChangeMessage-1.3.0"">
<changeDescriptor>
        <changeDetail>
            <changeLocation>/OSSChangeMessage/oldFlight</changeLocation>
            <changeDescription>
                <actionCode>CNL</actionCode>
            </changeDescription>
        </changeDetail>
    </changeDescriptor>
<oldFlight>
        <identity>
            <carrier>ZY</carrier>
            <dayOfOrigin>2024-05-07Z</dayOfOrigin>
            <number>5027</number>
            <id>30449356</id>
            <version>0</version>
        </identity>
        <leg>
            <scheduleState>SKD</scheduleState>
            <departureAirport>SSA</departureAirport>
            <departureTime>2024-05-07T05:45:00.000Z</departureTime>
            <arrivalAirport>VCP</arrivalAirport>
            <arrivalTime>2024-05-07T08:10:00.000Z</arrivalTime>
            <aircraftSubtype>295</aircraftSubtype>
            <aircraftVersion>F0C0Y0</aircraftVersion>
            <serviceType>J</serviceType>
            <nonOperational>false</nonOperational>
            <flifoCancel>false</flifoCancel>
            <sequenceNumber>1</sequenceNumber>
            <id>53368038</id>
        </leg>
    </oldFlight>
</ns2:OSSChangeMessage>"
33082,375224704,2024-05-01 13:03:49,ZY,5027,7,SSA,service-acco,ASMMsgProcessor,"2024-05-01 13:03:49,862 INFO  [11f1a4491c411762] [ZY5027 /07 SSA | service-acco | ASMMsgProcessor                     |                                | Thread-34161 (ActiveMQ-client-global-threads)]  Saved:",The message was processed successfully
33711,375229454,2024-05-01 13:05:59,ZY,6075,7,BVB,service-acco,ASMMsgProcessor,"2024-05-01 13:05:59,351 INFO  [f1095ae61fb9b1c] [ZY6075 /07 BVB | service-acco | ASMMsgProcessor                     |                                | Thread-34170 (ActiveMQ-client-global-threads)]  Received:","<?xml version=""1.0"" encoding=""UTF-8""?><ns2:OSSChangeMessage xmlns:ns2=""http://www.systemone.com/iocc/oss/notification/OssChangeMessage-1.3.0"">
<changeDescriptor>
        <changeDetail>
            <changeLocation>/OSSChangeMessage/newFlight/leg[1]/aircraftVersion</changeLocation>
            <changeDescription>
                <actionCode>CON</actionCode>
            </changeDescription>
        </changeDetail>
        <changeDetail>
            <changeLocation>/OSSChangeMessage/newFlight/leg[1]/aircraftRegistration</changeLocation>
            <changeDescription>
                <actionCode>EQT</actionCode>
            </changeDescription>
        </changeDetail>
    </changeDescriptor>
<oldFlight>
        <identity>
            <carrier>ZY</carrier>
            <dayOfOrigin>2024-05-07Z</dayOfOrigin>
            <number>6075</number>
            <id>30449577</id>
            <version>0</version>
        </identity>
        <leg>
            <scheduleState>SKD</scheduleState>
            <departureAirport>BVB</departureAirport>
            <departureTime>2024-05-07T05:20:00.000Z</departureTime>
            <arrivalAirport>MAO</arrivalAirport>
            <arrivalTime>2024-05-07T06:35:00.000Z</arrivalTime>
            <aircraftSubtype>32N</aircraftSubtype>
            <aircraftVersion>F0C0Y0</aircraftVersion>
            <serviceType>J</serviceType>
            <nonOperational>false</nonOperational>
            <flifoCancel>false</flifoCancel>
            <sequenceNumber>1</sequenceNumber>
            <id>53368266</id>
        </leg>
    </oldFlight>
<newFlight>
        <identity>
            <carrier>ZY</carrier>
            <dayOfOrigin>2024-05-07Z</dayOfOrigin>
            <number>6075</number>
            <id>30449577</id>
            <version>1</version>
        </identity>
        <leg>
            <scheduleState>SKD</scheduleState>
            <departureAirport>BVB</departureAirport>
            <departureTime>2024-05-07T05:20:00.000Z</departureTime>
            <arrivalAirport>MAO</arrivalAirport>
            <arrivalTime>2024-05-07T06:35:00.000Z</arrivalTime>
            <aircraftRegistration>ZYXRB</aircraftRegistration>
            <aircraftSubtype>32N</aircraftSubtype>
            <aircraftVersion>Y174</aircraftVersion>
            <serviceType>J</serviceType>
            <nonOperational>false</nonOperational>
            <flifoCancel>false</flifoCancel>
            <sequenceNumber>1</sequenceNumber>
            <id>53368266</id>
        </leg>
    </newFlight>
</ns2:OSSChangeMessage>"
